"Tile.Size","Match.Score","Prev.Length","Prev.Type","Browse.Time"
0.2,70,79,"TT",10.3185809959588
0.2,70,69,"TT",11.4433390347441
0.2,80,79,"TT",11.6065910087616
0.2,80,69,"TT",12.0164126817662
0.2,75,74,"TT",10.6860576396027
0.2,70,79,"TT",10.8301261366007
0.2,70,69,"TT",12.2468096651662
0.2,80,79,"TT",11.3067800816181
0.2,80,69,"TT",12.1119819151384
0.2,75,74,"TT",10.3949568294122
0.2,70,79,"TT",10.032549225628
0.2,70,69,"TT",10.0698460333448
0.2,80,79,"TT",9.68347931391674
0.2,80,69,"TT",12.4008822406701
0.2,75,74,"TT",11.0377526469969
0.2,70,79,"TT",9.37469320509457
0.2,70,69,"TT",9.67222945016718
0.2,80,79,"TT",11.3602404567099
0.2,80,69,"TT",12.0484818969518
0.2,75,74,"TT",9.67337040672557
0.2,70,79,"TT",12.7175003919522
0.2,70,69,"TT",10.7464493325233
0.2,80,79,"TT",11.5803997054369
0.2,80,69,"TT",11.9964387238415
0.2,75,74,"TT",9.43664390288699
0.2,70,79,"TT",9.32332022616813
0.2,70,69,"TT",10.4398101661127
0.2,80,79,"TT",10.7723359928687
0.2,80,69,"TT",11.5402519194425
0.2,75,74,"TT",10.8227588791671
0.2,70,79,"TT",11.4224219016875
0.2,70,69,"TT",10.2691539353274
0.2,80,79,"TT",10.8328651116764
0.2,80,69,"TT",10.5534726517097
0.2,75,74,"TT",11.0352987497471
0.2,70,79,"TT",9.68744458063855
0.2,70,69,"TT",9.71245503801081
0.2,80,79,"TT",10.2542216246802
0.2,80,69,"TT",12.2580123850692
0.2,75,74,"TT",10.1270040117402
0.2,70,79,"TT",8.81834698110596
0.2,70,69,"TT",10.0506948017603
0.2,80,79,"TT",10.612482764474
0.2,80,69,"TT",9.78502662165698
0.2,75,74,"TT",9.73082222257972
0.2,70,79,"TT",9.98721456358009
0.2,70,69,"TT",10.3646260088106
0.2,80,79,"TT",11.9239130818488
0.2,80,69,"TT",10.1022757051604
0.2,75,74,"TT",9.88011029710522
0.2,70,79,"TT",11.5472819440377
0.2,70,69,"TT",10.9710356687161
0.2,80,79,"TT",11.846702409823
0.2,80,69,"TT",11.0656289281179
0.2,75,74,"TT",8.71327274601324
0.2,70,79,"TT",10.4077182214666
0.2,70,69,"TT",10.4207570069327
0.2,80,79,"TT",13.1185045593165
0.2,80,69,"TT",13.1234397723365
0.2,75,74,"TT",11.5114843460992
0.2,70,79,"TT",12.1941912761667
0.2,70,69,"TT",9.37245598207723
0.2,80,79,"TT",10.9818821929297
0.2,80,69,"TT",10.7342957462134
0.2,75,74,"TT",12.0389339700979
0.2,70,79,"TT",12.8233073676416
0.2,70,69,"TT",10.5198915680356
0.2,80,79,"TT",10.8050310340647
0.2,80,69,"TT",12.1186547345355
0.2,75,74,"TT",11.1309839438699
0.2,70,79,"TT",10.2761048516445
0.2,70,69,"TT",11.5555335410321
0.2,80,79,"TT",10.4852324120086
0.2,80,69,"TT",9.73084042086026
0.2,75,74,"TT",10.1601066105007
0.2,70,79,"TT",11.6064558066722
0.2,70,69,"TT",11.5732257479887
0.2,80,79,"TT",10.207102581998
0.2,80,69,"TT",10.9611157318059
0.2,75,74,"TT",10.3931762201164
0.2,70,79,"TT",10.0372251254751
0.2,70,69,"TT",9.31157485390356
0.2,80,79,"TT",12.0045228798549
0.2,80,69,"TT",11.1705294767288
0.2,75,74,"TT",10.8410706693274
0.2,70,79,"TT",9.49513369749183
0.2,70,69,"TT",10.6217479597052
0.2,80,79,"TT",11.5593736260094
0.2,80,69,"TT",9.95463414597435
0.2,75,74,"TT",9.79104903020248
0.2,70,79,"TT",10.5192141829926
0.2,70,69,"TT",10.0916429967502
0.2,80,79,"TT",9.54847005593215
0.2,80,69,"TT",10.1616961030469
0.2,75,74,"TT",9.66927180342883
0.2,70,79,"TT",11.0933358297354
0.2,70,69,"TT",9.92059781770172
0.2,80,79,"TT",11.7382246309623
0.2,80,69,"TT",10.9534366904819
0.2,75,74,"TT",9.98821690500713
0.2,70,79,"TT",8.91542189160807
0.2,70,69,"TT",8.86074428303526
0.2,80,79,"TT",12.3457439587911
0.2,80,69,"TT",11.2307238127284
0.2,75,74,"TT",9.98131254917304
0.2,70,79,"TT",9.43130605928092
0.2,70,69,"TT",11.9230492212122
0.2,80,79,"TT",12.3256998716875
0.2,80,69,"TT",11.2471606866816
0.2,75,74,"TT",9.77931010517991
0.2,70,79,"TT",9.86249116611607
0.2,70,69,"TT",9.75244744672839
0.2,80,79,"TT",14.0978191378278
0.2,80,69,"TT",10.1747675939547
0.2,75,74,"TT",10.576244030661
0.2,70,79,"TT",12.8571235211568
0.2,70,69,"TT",10.2087933086362
0.2,80,79,"TT",11.0090234507661
0.2,80,69,"TT",10.726126457442
0.2,75,74,"TT",8.80049817453776
0.2,70,79,"TT",10.8018148653768
0.2,70,69,"TT",11.3553222824453
0.2,80,79,"TT",10.046712004231
0.2,80,69,"TT",9.91411394281536
0.2,75,74,"TT",10.2881160139626
0.2,70,79,"TT",10.9467430718709
0.2,70,69,"TT",9.32417040152054
0.2,80,79,"TT",10.3873772094191
0.2,80,69,"TT",11.1909756370011
0.2,75,74,"TT",10.5359910279728
0.2,70,79,"TT",10.4034402169795
0.2,70,69,"TT",10.3961640100251
0.2,80,79,"TT",13.2407264186902
0.2,80,69,"TT",9.22871997439245
0.2,75,74,"TT",10.4653392423263
0.2,70,79,"TT",9.13788497208165
0.2,70,69,"TT",11.0152939396723
0.2,80,79,"TT",11.5369270777471
0.2,80,69,"TT",9.91087522401574
0.2,75,74,"TT",9.7898074916969
0.2,70,79,"TT",9.30645801023713
0.2,70,69,"TT",10.0679219310276
0.2,80,79,"TT",10.6817691837592
0.2,80,69,"TT",10.5763046002455
0.2,75,74,"TT",9.60176831559117
0.2,70,79,"TT",9.97025470853209
0.2,70,69,"TT",10.335771956981
0.2,80,79,"TT",11.0742001649893
0.2,80,69,"TT",10.6768871833283
0.2,75,74,"TT",10.4741570737903
0.2,70,79,"TT",9.08218909040991
0.2,70,69,"TT",11.7052150071565
0.2,80,79,"TT",10.7231607509068
0.2,80,69,"TT",10.3100207534528
0.2,75,74,"TT",9.60028653447046
0.2,70,79,"TT",11.8952860916393
0.2,70,69,"TT",11.8520274435065
0.2,80,79,"TT",11.2036017461573
0.2,80,69,"TT",11.3213184352133
0.2,75,74,"TT",9.47754496145171
0.2,70,79,"TT",9.78836716703545
0.2,70,69,"TT",11.708413178844
0.2,80,79,"TT",11.1358709002154
0.2,80,69,"TT",10.2137101716805
0.2,75,74,"TT",11.958542887967
0.2,70,79,"TT",9.18524092873324
0.2,70,69,"TT",10.6196794432845
0.2,80,79,"TT",13.0870903699122
0.2,80,69,"TT",9.89597575679661
0.2,75,74,"TT",9.16011183121973
0.2,70,79,"TT",11.7330152475388
0.2,70,69,"TT",9.48995839907333
0.2,80,79,"TT",11.9390746271754
0.2,80,69,"TT",11.7017106029362
0.2,75,74,"TT",10.3736808681787
0.2,70,79,"TT",11.0487098885721
0.2,70,69,"TT",11.6698566842189
0.2,80,79,"TT",11.0448965550126
0.2,80,69,"TT",10.1035954855023
0.2,75,74,"TT",11.0076465981259
0.2,70,79,"TT",10.756276141743
0.2,70,69,"TT",10.9211303219096
0.2,80,79,"TT",10.131523973693
0.2,80,69,"TT",12.4492932355607
0.2,75,74,"TT",9.7677838839857
0.2,70,79,"TT",11.4713125234528
0.2,70,69,"TT",11.4950341916213
0.2,80,79,"TT",11.248716947237
0.2,80,69,"TT",11.104503929524
0.2,75,74,"TT",10.143377827253
0.2,70,79,"TT",9.50637590198811
0.2,70,69,"TT",12.6486924028119
0.2,80,79,"TT",9.81939168694909
0.2,80,69,"TT",10.7972024051741
0.2,75,74,"TT",10.0604080540273
0.2,70,79,"TT",11.1120060929655
0.2,70,69,"TT",11.7039936974073
0.2,80,79,"TT",12.4563689510389
0.2,80,69,"TT",12.0078471299224
0.2,75,74,"TT",9.09479901869633
0.2,70,79,"TT",8.64481922636437
0.2,70,69,"TT",11.9635828550304
0.2,80,79,"TT",10.9492876577039
0.2,80,69,"TT",9.6864759584115
0.2,75,74,"TT",10.0481651237789
0.2,70,79,"TT",10.3869060149845
0.2,70,69,"TT",10.1621995437626
0.2,80,79,"TT",9.51658969360922
0.2,80,69,"TT",11.1122737293948
0.2,75,74,"TT",10.6614482755741
0.2,70,79,"TT",10.7359342997532
0.2,70,69,"TT",10.8181704389122
0.2,80,79,"TT",11.418019456436
0.2,80,69,"TT",10.8366041575587
0.2,75,74,"TT",10.4478661728817
0.2,70,79,"TT",10.6711306090977
0.2,70,69,"TT",10.0943382220802
0.2,80,79,"TT",10.6503728642832
0.2,80,69,"TT",10.6195615206437
0.2,75,74,"TT",10.9948937565445
